aaa	Acidovorax avenae
mlc	Mycoplasma leachii PG50
mle	Mycobacterium leprae TN
mlh	Mycoplasma leachii 99/014/6
mli	Mycobacterium liflandii
mlo	Mesorhizobium loti
mlr	Melampsora larici-populina
mlu	Micrococcus luteus
mma	Methanosarcina mazei Go1
mmak	Methanococcus maripaludis KA1
mmao	Methanococcus maripaludis OS7
mmar	Modestobacter marinus
mmaz	Methanosarcina mazei Tuc01
mmb	Methylotenera mobilis
mmc	Mycobacterium sp. MCS
mmd	Methanococcus maripaludis X1
mme	Marinomonas mediterranea
mmg	Methanothermobacter marburgensis
mmh	Methanohalophilus mahii
mmi	Mycobacterium marinum
mmk	Morganella morganii
mml	Mycoplasma mycoides subsp. capri LC 95010
mmm	Mycobacterium sp. MOTT36Y
mmn	Candidatus Midichloria mitochondrii
mmo	Mycoplasma mobile
mmp	Methanococcus maripaludis S2
mmq	Methanococcus maripaludis C5
mmr	Maricaulis maris
mms	Janthinobacterium sp. Marseille
mmt	Methylomonas methanica
mmu	Mus musculus (mouse)
mmv	Mycobacterium abscessus subsp. bolletii GO 06
mmw	Marinomonas sp. MWYL1
mmx	Methanococcus maripaludis C6
mmy	Mycoplasma mycoides subsp. mycoides SC PG1
mmyi	Mycoplasma mycoides subsp. mycoides izsam_mm5713
mmym	Mycoplasma mycoides subsp. mycoides SC Gladysdale
mmz	Methanococcus maripaludis C7
mne	Mycobacterium neoaurum
mno	Methylobacterium nodulans
mok	Methanothermococcus okinawensis
mop	Mesorhizobium opportunistum
mor	Methylobacterium oryzae
mov	Mycoplasma ovis
mox	Candidatus Methylomirabilis oxyfera
mpa	Mycobacterium avium subsp. paratuberculosis K-10
mpb	Mycoplasma pneumoniae M129-B7
mpc	Marinomonas posidonica
mpd	Methanocella paludicola
mpe	Mycoplasma penetrans
mpf	Mycoplasma putrefaciens KS1
mpg	Mesotoga prima
mph	Microlunatus phosphovorus
mpi	Methanoplanus petrolearius
mpj	Mycoplasma pneumoniae FH
mpl	Candidatus Methanosphaerula palustris
mpm	Mycoplasma pneumoniae 309
mpn	Mycoplasma pneumoniae M129
mpo	Methylobacterium populi
mpp	Micromonas pusilla
mpr	Moniliophthora perniciosa
mps	Melissococcus plutonius ATCC 35311
mpt	Methylibium petroleiphilum
mpu	Mycoplasma pulmonis
mpur	Marichromatium purpuratum
mput	Mycoplasma putrefaciens Mput9231
mpv	Mycoplasma parvum
mpw	Myroides profundi
mpx	Melissococcus plutonius DAT561
mpy	Methanolobus psychrophilus
mpz	Marinitoga piezophila
mra	Mycobacterium tuberculosis H37Ra
mrb	Meiothermus ruber DSM 1279
mrd	Methylobacterium radiotolerans
mre	Meiothermus ruber DSM 1279
mrh	Mycobacterium rhodesiae
mro	Melioribacter roseus
mrr	Moniliophthora roreri
mrs	Muricauda ruestringensis
mru	Methanobrevibacter ruminantium
msa	Mycobacterium smegmatis JS623
msb	Mycobacterium smegmatis MC2 155
msc	Methylocystis sp. SC2
msd	Myxococcus stipitatus
mse	Metallosphaera sedula
msg	Mycobacterium smegmatis MC2 155
msh	Mycobacterium smegmatis INHR2
msi	Methanobrevibacter smithii
msk	Mycoplasma suis KI3806
msl	Methylocella silvestris
msm	Mycobacterium smegmatis MC2 155
msn	Mycobacterium smegmatis INHR1
msp	Mycobacterium gilvum Spyr1
msr	Marinobacter salarius
mss	Mycoplasma suis Illinois
mst	Methanosphaera stadtmanae
msu	Mannheimia succiniciproducens
msv	Meiothermus silvanus
msx	Marinobacter similis
msy	Mycoplasma synoviae
mta	Moorella thermoacetica
mtb	Mycobacterium tuberculosis KZN 1435
mtc	Mycobacterium tuberculosis CDC1551
mtd	Mycobacterium tuberculosis UT205
mte	Mycobacterium tuberculosis CCDC5079
mtf	Mycobacterium tuberculosis F11
mtg	Mycobacterium tuberculosis RGTB327
mth	Methanothermobacter thermautotrophicus
mti	Mycobacterium tuberculosis RGTB423
mtj	Mycobacterium tuberculosis Beijing/NITR203
mtk	Mycobacterium tuberculosis KZN 4207
mtl	Mycobacterium tuberculosis CCDC5180
mtm	Myceliophthora thermophila
mtn	Mycobacterium tuberculosis Erdman = ATCC 35801
mto	Mycobacterium tuberculosis CTRI-2
mtp	Methanosaeta thermophila
mtq	Mycobacterium tuberculosis HKBS1
mtr	Medicago truncatula (barrel medic)
mts	Microbacterium testaceum
mtt	Marivirga tractuosa
mtu	Mycobacterium tuberculosis H37Rv
mtub	Mycobacterium tuberculosis 7199-99
mtuc	Mycobacterium tuberculosis CAS/NITR204
mtue	Mycobacterium tuberculosis EAI5/NITR206
mtuh	Mycobacterium tuberculosis Haarlem/NITR202
mtul	Mycobacterium tuberculosis Haarlem
mtur	Mycobacterium tuberculosis CCDC5079
mtut	Mycobacterium tuberculosis BT1
mtuu	Mycobacterium tuberculosis BT2
mtv	Mycobacterium tuberculosis H37Rv
mtx	Mycobacterium tuberculosis EAI5
mtz	Mycobacterium tuberculosis KZN 605
mul	Mycobacterium ulcerans
mus	Musa acuminata (wild Malaysian banana)
mva	Mycobacterium vanbaalenii
mve	Mannheimia varigena USDA-ARS-USMARC-1388
mvg	Mannheimia varigena USDA-ARS-USMARC-1312
mvi	Mannheimia varigena USDA-ARS-USMARC-1296
mvn	Methanococcus vannielii
mvo	Methanococcus voltae
mvr	Mannheimia varigena USDA-ARS-USMARC-1261
mvu	Methanocaldococcus vulcanius
mwe	Mycoplasma wenyonii
mxa	Myxococcus xanthus
myb	Myotis brandtii (Brandt's bat)
myc	Mycobacterium abscessus 4529
myd	Myotis davidii
myo	Mycobacterium yongonense
myr	Myroides sp. A21
mys	Mycobacterium abscessus DJO-44274
myt	Mycoplasma yeatsii
myv	Mycobacterium sp. VKM Ac-1817D
mze	Maylandia zebra (zebra mbuna)
mzh	Methanosalsum zhilinae
nal	Nocardiopsis alba
nam	Nautilia profundicola
nar	Novosphingobium aromaticivorans
nat	Natrinema sp. J7-2
naz	Anabaena azollae 0708
nbr	Nocardia brasiliensis
nbv	Candidatus Nitrosopelagicus brevis
nca	Nocardioides sp. JS614
nce	Nosema ceranae
ncr	Neurospora crassa
ncs	Naumovozyma castellii
ncy	Nocardia cyriacigeorgica
nda	Nocardiopsis dassonvillei
nde	Candidatus Nitrospira defluvii
ndi	Naumovozyma dairenensis
ndl	Candidatus Nasuia deltocephalinicola
ndo	Nonlabens dokdonensis
nel	Neisseria elongata
neq	Nanoarchaeum equitans
net	Nitrosomonas eutropha
neu	Nitrosomonas europaea
nev	Candidatus Nitrososphaera evergladensis
nfa	Nocardia farcinica
nfi	Neosartorya fischeri
nga	Candidatus Nitrososphaera gargensis
ngd	Nannochloropsis gaditana
nge	Natronobacterium gregoryi
ngg	Neorhizobium galegae bv. orientalis HAMBI 540
ngi	Nannospalax galili (Upper Galilee mountains blind mole rat)
ngk	Neisseria gonorrhoeae NCCP11945
ngl	Neorhizobium galegae bv. officinalis bv. officinalis HAMBI 1141
ngo	Neisseria gonorrhoeae FA 1090
ngr	Naegleria gruberi
ngt	Neisseria gonorrhoeae TCDC-NG08107
nha	Nitrobacter hamburgensis
nhe	Nectria haematococca
nhl	Nitrosococcus halophilus
nhm	Neorickettsia helminthoeca
nid	Candidatus Nitrosopumilus sp. D3C
nii	Nitrosomonas sp. Is79A3
nir	Candidatus Nitrosopumilus sp. AR2
nis	Nitratiruptor sp. SB155-2
nit	Nitrosomonas sp. AL212
nko	Niastella koreensis
nkr	Candidatus Nitrosopumilus koreensis
nla	Neisseria lactamica
nle	Nomascus leucogenys (northern white-cheeked gibbon)
nma	Neisseria meningitidis Z2491 (serogroup A)
nmc	Neisseria meningitidis FAM18 (serogroup C)
nmd	Neisseria meningitidis G2136 (serogroup B)
nme	Neisseria meningitidis MC58 (serogroup B)
nmg	Natrialba magadii
nmh	Neisseria meningitidis H44/76 (serogroup B)
nmi	Neisseria meningitidis alpha14 (cnl strain)
nml	Nakamurella multipartita
nmm	Neisseria meningitidis M01-240149 (serogroup B)
nmn	Neisseria meningitidis 053442 (serogroup C)
nmo	Natronomonas moolapensis
nmp	Neisseria meningitidis alpha710 (serogroup B)
nmq	Neisseria meningitidis M04-240196 (serogroup B)
nmr	Nitrosopumilus maritimus
nms	Neisseria meningitidis M01-240355 (serogroup B)
nmt	Neisseria meningitidis 8013 (serogroup C)
nmu	Nitrosospira multiformis
nmw	Neisseria meningitidis WUE 2594 (serogroup A)
nmx	Neisseria meningitidis 510612  (serogroup A)
nmz	Neisseria meningitidis NZ-05/33 (serogroup B)
nno	Nocardia nova
noc	Nitrosococcus oceani
nop	Nostoc sp. PCC 7524
nos	Nostoc sp. PCC 7107
nou	Natronococcus occultus
npa	Neofusicoccum parvum
npe	Natrinema pellirubrum
nph	Natronomonas pharaonis
npn	Novosphingobium pentaromativorans
npp	Novosphingobium sp. PP1Y
npu	Nostoc punctiforme
nri	Neorickettsia risticii
nsa	Nitratifractor salsuginis
nse	Neorickettsia sennetsu
nso	Niabella soli
nte	Neurospora tetrasperma
nth	Natranaerobius thermophilus
nve	Nematostella vectensis (sea anemone)
nvi	Nasonia vitripennis (jewel wasp)
nvn	Nitrososphaera viennensis
nwa	Nitrosococcus watsonii
nwi	Nitrobacter winogradskyi
nzs	Phytoplasma (CPA) NZSb11
oaa	Ornithorhynchus anatinus (platypus)
oac	Oscillatoria acuminata
oah	Ochrobactrum anthropi OAB
oan	Ochrobactrum anthropi ATCC 49188
oar	Octadecabacter arcticus
oas	Ovis aries (sheep)
oat	Octadecabacter antarcticus
obr	Oryza brachyantha (malo sina)
obt	Opitutaceae bacterium TAV5
oca	Oligotropha carboxidovorans OM5 (Mississippi)
oce	Oceanimonas sp. GK1
ocg	Oligotropha carboxidovorans OM5 (Goettingen)
oco	Oligotropha carboxidovorans OM4
ocu	Oryctolagus cuniculus (rabbit)
oho	Owenweeksia hongkongensis
oih	Oceanobacillus iheyensis
ola	Oryzias latipes (Japanese medaka)
ols	Olsenella uli
olu	Ostreococcus lucimarinus
oni	Oscillatoria nigro-viridis
ooe	Oenococcus oeni
opr	Oceanithermus profundus
orh	Ornithobacterium rhinotracheale DSM 15997
ori	Ornithobacterium rhinotracheale ORT-UMN 88
osa	Oryza sativa japonica (Japanese rice) (RefSeq)
osp	Odoribacter splanchnicus
ota	Ostreococcus tauri
ote	Opitutus terrae
ots	Orientia tsutsugamushi Boryong
ott	Orientia tsutsugamushi Ikeda
ova	Oscillibacter valericigenes
paa	Prosthecochloris aestuarii
pab	Pyrococcus abyssi
pac	Propionibacterium acnes KPA171202
paca	Candidatus Paracaedibacter acanthamoebae
pacc	Propionibacterium acnes C1
pach	Propionibacterium acnes HL096PA1
pacn	Propionibacterium acnes hdn-1
pad	Propionibacterium acnes ATCC 11828
pae	Pseudomonas aeruginosa PAO1
paea	Paenibacillus sp. FSL R7-0273
paec	Pseudomonas aeruginosa c7447m
paee	Paenibacillus sp. FSL R7-0331
paef	Paenibacillus sp. FSL R5-0345
paeg	Pseudomonas aeruginosa YL84
paeh	Paenibacillus sp. FSL H7-0357
paei	Pseudomonas aeruginosa PAO1-VE2
paej	Paenibacillus sp. FSL H7-0737
pael	Pseudomonas aeruginosa LES431
paem	Pseudomonas aeruginosa MTB-1
paen	Paenibacillus sp. FSL P4-0081
paeo	Pseudomonas aeruginosa PAO581
paep	Pseudomonas aeruginosa PA1
paeq	Paenibacillus sp. FSL R5-0912
paer	Pseudomonas aeruginosa PA1R
paes	Pseudomonas aeruginosa SCV20265
paeu	Pseudomonas aeruginosa PA38182
paev	Pseudomonas aeruginosa PAO1-VE13
paf	Pseudomonas aeruginosa M18
pag	Pseudomonas aeruginosa LESB58
pah	Porphyromonas asaccharolytica
pai	Pyrobaculum aerophilum
paj	Pantoea ananatis AJ13355
pak	Propionibacterium acnes SK137
pal	Candidatus Phytoplasma australiense
pale	Pteropus alecto (black flying fox)
palk	Pseudomonas alkylphenolia
pam	Pantoea ananatis LMG 20103
pami	Paracoccus aminophilus
pan	Podospora anserina
panp	Pantoea sp. PSNIH2
pant	Pantoea sp. PSNIH1
pao	Pantoea sp. At-9b
pap	Pseudomonas aeruginosa PA7
papi	Pandoraea apista
paq	Pantoea ananatis PA13
par	Psychrobacter arcticus
pas	Pyrobaculum arsenaticum
pat	Pseudoalteromonas atlantica
pato	Pectobacterium atrosepticum 21A
patr	Pectobacterium atrosepticum JG10-08
pau	Pseudomonas aeruginosa UCBPP-PA14
pav	Propionibacterium acnes TypeIA2 P.acn17
paw	Propionibacterium acnes 266
pax	Propionibacterium acnes TypeIA2 P.acn31
pay	Photorhabdus asymbiotica
paz	Propionibacterium acnes TypeIA2 P.acn33
pba	Pseudomonas brassicacearum subsp. brassicacearum NFM421
pbc	Pseudomonas brassicacearum DF41
pbd	Paenibacillus borealis
pbe	Plasmodium berghei
pbi	Python bivittatus (Burmese python)
pbl	Paracoccidioides brasiliensis Pb01
pbm	Pseudomonas balearica
pbn	Paracoccidioides brasiliensis Pb18
pbo	Propionibacterium acidipropionici
pbr	Parvularcula bermudensis
pbs	Planctomyces brasiliensis
pca	Pelobacter carbinolicus
pcb	Plasmodium chabaudi
pcc	Pectobacterium carotovorum subsp. carotovorum PCC21
pce	Pediococcus claussenii
pch	Pseudomonas chlororaphis PA23
pci	Pseudomonas cichorii
pcl	Pyrobaculum calidifontis
pcn	Propionibacterium acnes 6609
pco	Phanerochaete carnosa
pcp	Pseudomonas chlororaphis subsp. aurantiaca
pcr	Psychrobacter cryohalolentis
pcs	Penicillium chrysogenum
pct	Pectobacterium carotovorum subsp. carotovorum PC1
pcu	Candidatus Protochlamydia amoebophila
pcv	Pectobacterium carotovorum subsp. odoriferum
pcy	Plasmodium cynomolgi
pda	Phoenix dactylifera (date palm)
pde	Paracoccus denitrificans
pdi	Parabacteroides distasonis
pdk	Pseudomonas aeruginosa DK2
pdn	Prevotella denticola
pdr	Pseudomonas denitrificans
pdt	Prevotella dentalis
pdu	Paenibacillus durus
pdx	Pseudonocardia dioxanivorans
pec	Pectobacterium sp. SCC3193
pel	Candidatus Pelagibacter sp. IMCC9063
pen	Pseudomonas entomophila
pes	Candidatus Sodalis pierantonius
pfa	Plasmodium falciparum 3D7
pfc	Pseudomonas fluorescens A506
pfd	Plasmodium falciparum Dd2
pfe	Pseudomonas fluorescens F113
pfh	Plasmodium falciparum HB3
pfi	Pyrococcus furiosus COM1
pfj	Pseudocercospora fijiensis
pfl	Pseudomonas protegens Pf-5
pfm	Pyrolobus fumarii
pfn	Pseudomonas fluorescens UK4
pfo	Pseudomonas fluorescens Pf0-1
pfp	Pseudozyma flocculosa
pfr	Propionibacterium freudenreichii
pfs	Pseudomonas fluorescens SBW25
pfu	Pyrococcus furiosus DSM 3638
pfv	Pseudomonas fulva
pga	Phaeobacter inhibens
pgd	Phaeobacter gallaeciensis DSM 26640
pge	Pluralibacter gergoviae
pgi	Porphyromonas gingivalis W83
pgl	Phaeobacter gallaeciensis 2.10
pgm	Paenibacillus graminis
pgn	Porphyromonas gingivalis ATCC 33277
pgr	Puccinia graminis
pgt	Porphyromonas gingivalis TDC60
pgu	Meyerozyma guilliermondii
pgv	Polymorphum gilvum
pha	Pseudoalteromonas haloplanktis
phd	Pantholops hodgsonii (chiru)
phe	Pedobacter heparinus
phi	Pseudopodoces humilis (Tibetan ground-tit)
phl	Pelagibacterium halotolerans
phm	Phycisphaera mikurensis
pho	Pyrococcus horikoshii
phu	Pediculus humanus corporis (human body louse)
pic	Scheffersomyces stipitis
pif	Phytophthora infestans
pin	Psychromonas ingrahamii
pis	Pyrobaculum islandicum
pit	Prevotella intermedia
pjd	Paenibacillus sp. JDR-2
pkc	Pseudomonas knackmussii
pkn	Plasmodium knowlesi
pla	Parvibaculum lavamentivorans
pld	Candidatus Portiera aleyrodidarum TV
ple	Candidatus Portiera aleyrodidarum BT-B
plf	Pantoea ananatis LMG 5342
plm	Planctomyces limnophilus
pln	Planococcus sp. PAMC 21323
plo	Candidatus Portiera aleyrodidarum BT-QVLC
plp	Pleurocapsa sp. PCC 7327
plr	Candidatus Portiera aleyrodidarum BT-QVLC
plt	Pelodictyon luteolum
plu	Photorhabdus luminescens
plv	Paenibacillus larvae
ply	Candidatus Portiera aleyrodidarum BT-B-HRs
pma	Prochlorococcus marinus SS120
pman	Pseudomonas mandelii
pmb	Prochlorococcus marinus AS9601
pmc	Prochlorococcus marinus MIT 9515
pme	Prochlorococcus marinus NATL1A
pmf	Prochlorococcus marinus MIT 9303
pmg	Prochlorococcus marinus MIT 9301
pmh	Prochlorococcus marinus MIT 9215
pmi	Prochlorococcus marinus MIT9312
pmib	Proteus mirabilis BB2000
pmic	Parvimonas micra
pmj	Prochlorococcus marinus MIT 9211
pmk	Pseudomonas mendocina NK-01
pml	Candidatus Phytoplasma mali
pmm	Prochlorococcus marinus MED4
pmn	Prochlorococcus marinus NATL2A
pmo	Petrotoga mobilis
pmon	Pseudomonas monteilii SB3078
pmos	Pseudomonas mosselii
pmot	Pseudomonas monteilii SB3101
pmp	Pasteurella multocida 36950
pmq	Paenibacillus mucilaginosus 3016
pmr	Proteus mirabilis HI4320
pms	Paenibacillus mucilaginosus KNP414
pmt	Prochlorococcus marinus MIT 9313
pmu	Pasteurella multocida subsp. multocida Pm70
pmul	Pasteurella multocida ATCC 43137
pmum	Prunus mume (Japanese apricot)
pmv	Pasteurella multocida subsp. multocida HN06
pmw	Paenibacillus mucilaginosus K02
pmx	Persephonella marina
pmy	Pseudomonas mendocina ymp
pmz	Prevotella melaninogenica
pna	Polaromonas naphthalenivorans
pnc	Pseudomonas aeruginosa NCGM2.S1
pne	Polynucleobacter necessarius subsp. necessarius
pno	Phaeosphaeria nodorum
pnu	Polynucleobacter necessarius subsp. asymbioticus
pod	Paenibacillus odorifer
pog	Pyrobaculum oguniense
pol	Polaromonas sp. JS666
pom	Polaribacter sp. MED152
pon	Pongo abelii (Sumatran orangutan)
pop	Populus trichocarpa (black cottonwood)
poy	Onion yellows phytoplasma OY-M
ppa	Komagataella pastoris
ppac	Palaeococcus pacificus
ppb	Pseudomonas putida BIRD-1
ppc	Propionibacterium propionicum
ppd	Pelobacter propionicus
ppe	Pediococcus pentosaceus ATCC 25745
ppen	Pediococcus pentosaceus SL4
pper	Prunus persica (peach)
ppf	Pseudomonas putida F1
ppg	Pseudomonas putida GB-1
pph	Pelodictyon phaeoclathratiforme
ppi	Pseudomonas putida ND6
ppj	Pseudomonas plecoglossicida
ppk	Pandoraea pnomenusa 3kgm
ppl	Postia placenta
ppm	Paenibacillus polymyxa SC2
ppn	Paludibacter propionicigenes
ppnm	Pandoraea pnomenusa DSM 16536
ppno	Pandoraea pnomenusa RB38
ppo	Paenibacillus polymyxa M1
ppol	Paenibacillus polymyxa CR1
ppp	Physcomitrella patens subsp. patens
ppq	Paenibacillus polymyxa SQR-21
ppr	Photobacterium profundum
pprc	Pseudomonas protegens CHA0
ppro	Pseudomonas protegens Cab57
pps	Pan paniscus (bonobo)
ppt	Pseudomonas putida S16
ppu	Pseudomonas putida KT2440
ppud	Pseudomonas putida DLL-E4
ppuh	Pseudomonas putida HB3267
ppul	Pandoraea pulmonicola
ppun	Pseudomonas putida NBRC 14164
pput	Pseudomonas putida H8234
ppuu	Pseudomonas sp. UW4
ppv	Pseudomonas parafulva
ppw	Pseudomonas putida W619
ppx	Pseudomonas putida DOT-T1E
ppy	Paenibacillus polymyxa E681
ppz	Pseudomonas poae
pra	Propionibacterium avidum
prb	Pandoraea sp. RB-44
prc	Prochlorococcus sp. MIT 0604
pre	Pseudomonas resinovorans
prh	Pseudomonas rhizosphaerae
prm	Prochlorococcus sp. MIT 0801
pro	Prevotella sp. oral taxon 299
prp	Pseudomonas aeruginosa RP73
pru	Prevotella ruminicola
prw	Psychrobacter sp. PRwf-1
psa	Pseudomonas stutzeri A1501
psab	Paenibacillus sabinae
psb	Pseudomonas syringae pv. syringae B728a
psc	Pseudomonas stutzeri CCUG 29243
psd	Pseudoxanthomonas spadix
pse	Pseudogulbenkiania sp. NH8B
pseo	Pseudoalteromonas sp. OCN003
pses	Pseudomonas sp. StFLB209
pseu	Pseudanabaena sp. PCC 7367
psf	Pseudovibrio sp. FO-BEG1
psg	Pseudomonas aeruginosa B136-33
psh	Pseudomonas stutzeri RCH2
psi	Providencia stuartii MRSN 2154
psim	Pimelobacter simplex
psj	Pseudomonas stutzeri DSM 10701
psk	Pseudomonas sp. TKP
psl	Pirellula staleyi
psm	Pseudoalteromonas sp. SM9913
psn	Pedobacter saltans
pso	Psychrobacter sp. G
psoj	Phytophthora sojae
psol	Candidatus Phytoplasma solani
psp	Pseudomonas syringae pv. phaseolicola 1448A
pspu	Pandoraea sputorum
psq	Punctularia strigosozonata
psr	Pseudomonas stutzeri DSM 4166
pss	Pelodiscus sinensis (Chinese soft-shelled turtle)
pst	Pseudomonas syringae pv. tomato DC3000
pste	Paenibacillus stellifer
psts	Plautia stali symbiont
pstt	Pseudomonas stutzeri 28a24
pstu	Pseudomonas stutzeri 19SMN4
psu	Pseudoxanthomonas suwonensis
psv	Pseudomonas sp. VLB120
psw	Pseudomonas cremoricolorata
psx	Providencia stuartii ATCC 33672
psy	Psychromonas sp. CNPT3
psyr	Pseudomonas syringae CC1557
psz	Pseudomonas stutzeri ATCC 17588
pta	Paenibacillus terrae
pte	Pyrenophora teres
ptg	Panthera tigris altaica (Amur tiger)
pth	Pelotomaculum thermopropionicum
pti	Phaeodactylum tricornutum
ptm	Paramecium tetraurelia
pto	Picrophilus torridus
ptp	Planktomarina temperata
ptq	Psychroflexus torquis
ptr	Pan troglodytes (chimpanzee)
pub	Candidatus Pelagibacter ubique
puf	Pelosinus sp. UFO1
pul	Pasteurella multocida subsp. multocida 3480
put	Pusillimonas sp. T7-7
puv	Parachlamydia acanthamoebae
pva	Pantoea vagans
pve	Pandoraea vervacti
pvi	Chlorobium phaeovibrioides
pvu	Phaseolus vulgaris (common bean)
pvx	Plasmodium vivax
pwa	Pectobacterium wasabiae
pxb	Pyrus x bretschneideri (Chinese white pear)
pya	Pyrococcus yayanosii
pyn	Pyrococcus sp. NA2
pyo	Plasmodium yoelii
pyr	Pyrobaculum sp. 1860
pys	Pyrococcus sp. ST04
pzu	Phenylobacterium zucineum
raa	Rahnella aquatilis HX2
rae	Riemerella anatipestifer RA-CH-2
raf	Rickettsia africae
rag	Riemerella anatipestifer RA-CH-1
rah	Rahnella sp. Y9602
rai	Riemerella anatipestifer ATCC 11845 = DSM 15868
rak	Rickettsia akari
ral	Ruminococcus albus
ram	Candidatus Rickettsia amblyommii
ran	Riemerella anatipestifer ATCC 11845 = DSM 15868
raq	Rahnella aquatilis CIP 78.65 = ATCC 33071
rar	Riemerella anatipestifer RA-GD
rat	Riemerella anatipestifer CH3
rau	Rickettsia australis
rba	Rhodopirellula baltica
rbc	Mucinivorans hirudinis
rbe	Rickettsia bellii RML369-C
rbi	Robiginitalea biformata
rbo	Rickettsia bellii OSU 85-389
rbr	Ruminococcus bromii
rbt	Rickettsiales bacterium Ac37b
rbu	Rhodocyclaceae bacterium
rca	Roseiflexus castenholzii
rcc	Rickettsia canadensis CA410
rce	Rhodospirillum centenum
rch	Ruminococcus champanellensis
rci	Methanocella arvoryzae
rcm	Rickettsia canadensis McKiel
rco	Rickettsia conorii
rcp	Rhodobacter capsulatus
rcu	Ricinus communis (castor bean)
rde	Roseobacter denitrificans
rdn	Rothia dentocariosa
rec	Rhizobium etli CIAT 652
red	Roseibacterium elongatum
reh	Ralstonia eutropha H16
rei	Rhizobium etli bv. mimosae IE4771
rel	Rhizobium etli bv. mimosae Mim1
rep	Rhizobium etli bv. phaseoli IE4803
req	Rhodococcus equi
rer	Rhodococcus erythropolis PR4
ret	Rhizobium etli CFN 42
reu	Ralstonia eutropha JMP134
rey	Rhodococcus erythropolis CCM2595
rfe	Rickettsia felis
rfr	Rhodoferax ferrireducens
rga	Rhizobium gallicum
rge	Rubrivivax gelatinosus
rha	Rhodococcus jostii
rhd	Rhodanobacter denitrificans
rhe	Rickettsia heilongjiangensis
rhi	Sinorhizobium fredii NGR234
rhl	Rhizobium sp. LPU83
rho	Roseburia hominis
rim	Roseburia intestinalis M50/1
rip	Candidatus Riesia pediculicola
rir	Rhizobium sp. IRBG74
riv	Rivularia sp. PCC 7116
rix	Roseburia intestinalis XB6B4
rja	Rickettsia japonica
rla	Candidatus Rhodoluna lacicola
rlb	Rhizobium leguminosarum bv. trifolii WSM1689
rle	Rhizobium leguminosarum bv. viciae 3841
rlg	Rhizobium leguminosarum bv. trifolii WSM1325
rli	Roseobacter litoralis
rlt	Rhizobium leguminosarum bv. trifolii WSM2304
rlu	Rhizobium leguminosarum bv. trifolii CB782
rma	Candidatus Ruthia magnifica (Calyptogena magnifica)
rme	Cupriavidus metallidurans
rmg	Rhodothermus marinus SG0.5JP17-172
rmi	Rickettsia massiliae AZT80
rmo	Rickettsia montanensis
rmr	Rhodothermus marinus DSM 4252
rms	Rickettsia massiliae MTU5
rmu	Rothia mucilaginosa
rno	Rattus norvegicus (rat)
roa	Rhodococcus opacus PD630
rob	Ruminococcus obeum
ron	Raoultella ornithinolytica S12
rop	Rhodococcus opacus B4
ror	Raoultella ornithinolytica B6
rpa	Rhodopseudomonas palustris CGA009
rpb	Rhodopseudomonas palustris HaA2
rpc	Rhodopseudomonas palustris BisB18
rpd	Rhodopseudomonas palustris BisB5
rpe	Rhodopseudomonas palustris BisA53
rpf	Ralstonia pickettii 12D
rpg	Rickettsia prowazekii GvV257
rph	Rickettsia philipii
rpi	Ralstonia pickettii 12J
rpj	Ralstonia pickettii DTP0602
rpk	Rickettsia peacockii
rpl	Rickettsia prowazekii Breinl
rpm	Rhodospirillum photometricum
rpn	Rickettsia prowazekii NMRC Madrid E
rpo	Rickettsia prowazekii BuV67-CWPP
rpp	Rickettsia parkeri
rpq	Rickettsia prowazekii Rp22
rpr	Rickettsia prowazekii Madrid E
rps	Rickettsia prowazekii Katsinyian
rpt	Rhodopseudomonas palustris TIE-1
rpv	Rickettsia prowazekii RpGvF24
rpw	Rickettsia prowazekii Chernikova
rpx	Rhodopseudomonas palustris DX-1
rpy	Rhodococcus pyridinivorans
rpz	Rickettsia prowazekii Dachau
rra	Rickettsia rickettsii Arizona
rrb	Rickettsia rickettsii Brazil
rrc	Rickettsia rickettsii Colombia
rrd	Rubrobacter radiotolerans
rre	Rickettsia rhipicephali
rrf	Rhodospirillum rubrum F11
rrh	Rickettsia rickettsii Hauke
rri	Rickettsia rickettsii Sheila Smith
rrj	Rickettsia rickettsii Iowa
rrm	Rickettsia rickettsii Morgan
rrn	Rickettsia rickettsii Hino
rrp	Rickettsia rickettsii Hlp#2
rrr	Rickettsia rickettsii R
rrs	Roseiflexus sp. RS-1
rru	Rhodospirillum rubrum ATCC 11170
rsa	Renibacterium salmoninarum
rsc	Ralstonia solanacearum CFBP2957
rsd	Uncultured Termite group 1 bacterium phylotype Rs-D17
rse	Ralstonia solanacearum FQY_4
rsh	Rhodobacter sphaeroides ATCC 17029
rsi	Runella slithyformis
rsk	Rhodobacter sphaeroides KD131
rsl	Ralstonia solanacearum PSI07
rsm	Ralstonia solanacearum CMR15
rsn	Ralstonia solanacearum Po82
rso	Ralstonia solanacearum GMI1000
rsp	Rhodobacter sphaeroides 2.4.1
rsq	Rhodobacter sphaeroides ATCC 17025
rsv	Rickettsia slovaca 13-B
rsw	Rickettsia slovaca D-CWPP
rta	Ramlibacter tataouinensis
rtb	Rickettsia typhi B9991CWPP
rto	Ruminococcus torques
rtr	Rhizobium tropici
rtt	Rickettsia typhi TH1527
rtx	Rathayibacter toxicus
rty	Rickettsia typhi Wilmington
rum	Ruminococcus sp. SR1/5
rus	Ruminococcus sp. 80/3
rva	Rhodomicrobium vannielii
rxy	Rubrobacter xylanophilus
